Nombre,Energía (kcal),Carbohidratos (gr),Grasas totales (gr),Azúcares (gr),Grasas saturadas (gr),Fibra dietética (gr),Proteínas (gr),Sal (gr),Racion (gr),Energía Total (kcal)
Ají de pollo con arroz,"176,1","21,3","5,5","1,2","1,4","0,8","10,1","0,4",500,"880,5"
Tacos de cochinita pibil,"183,49","8,54","11,4","1,67","5,15","0,41","11,06","0,7",400,"733,96"
Curry rojo de verduras,"72,6","8,3","2,5",2,"0,4","1,2",7,"0,3",500,363
Lentejas estofadas con chorizo,"131,6","12,4","5,4","1,5","0,5","2,6",8,"1,1",500,658
Spaghetti al pesto genovese,"232,6","24,6","11,9","1,5","2,7","1,3","6,4","0,3",450,"1046,7"
" Pollo glaseado con guiso de calabacín y zanahoria","62,6","4,3","1,5","2,4","0,3","1,4","8,1","0,4",500,313
Mac&amp;Cheese de scamorza y jamón,"208,9","25,5","8,6","4,3","4,2","1,6","7,3","0,9",500,"1044,5"
Brownie de chocolate,"500,6","39,05","35,4",27,"19,9","0,4","6,2","0,4",180,"901,08"
Caldo ibérico con udón y setas,"47,1","6,5","1,1","0,2","0,7","0,8","2,5","1,2",480,"226,08"
Paella,"92,1",14,"1,9","0,2","0,6","0,3","5,2","0,4",500,"460,5"
Terrina glaseada de codillo,"220,4","3,3","15,8","0,7","5,5","0,6","14,9","1,2",500,1102
Albóndigas a la española con arroz,"179,7",24,"2,9","2,5","0,9","0,97","9,3","0,6",500,"898,5"
Risotto Al Funghi,"136,8","22,1","4,3","0,5","1,6","0,7",3,"0,4",500,684
Tarta de queso,"389,3","13,7","30,5","12,9","17,1","0,2","8,7","0,8",150,"583,95"
Coq au vin y verduritas glaseadas,"108,9","3,3","5,6","2,8","1,3","1,4","8,8","0,7",500,"544,5"
Chipirones encebollados,"86,27","9,81","1,86","2,58","0,36","1,39","5,71","0,4",500,"431,35"
Crema de verduras de temporada,"81,6","5,3","6,3","2,1","2,9","1,6","1,7","0,4",500,408
Ragú de verduras,"33,8","3,9","1,8","2,9","0,3","1,5","1,1","0,3",500,169
Milhojas de calabacín y atún,"91,7","5,1","4,2","3,6","2,2","0,6","5,9","0,8",500,"458,5"
Bacalao con verduras y purrusalda de jamón,"98,5","2,7","6,7","0,7","3,5","0,8","6,9","0,2",500,"492,5"
1 kg de fruta de temporada
